date_key,full_date,year,quarter,month,month_name,year_month,week_of_year,day_of_month,day_of_week,day_name,is_weekend
20160101,2016-01-01,2016,1,1,January,2016-Jan,0,1,5,Friday,false
20160102,2016-01-02,2016,1,1,January,2016-Jan,0,2,6,Saturday,true
20160103,2016-01-03,2016,1,1,January,2016-Jan,1,3,7,Sunday,true
20160104,2016-01-04,2016,1,1,January,2016-Jan,1,4,1,Monday,false
20160105,2016-01-05,2016,1,1,January,2016-Jan,1,5,2,Tuesday,false
20160106,2016-01-06,2016,1,1,January,2016-Jan,1,6,3,Wednesday,false
20160107,2016-01-07,2016,1,1,January,2016-Jan,1,7,4,Thursday,false
20160108,2016-01-08,2016,1,1,January,2016-Jan,1,8,5,Friday,false
20160109,2016-01-09,2016,1,1,January,2016-Jan,1,9,6,Saturday,true
20160110,2016-01-10,2016,1,1,January,2016-Jan,2,10,7,Sunday,true
20160111,2016-01-11,2016,1,1,January,2016-Jan,2,11,1,Monday,false
20160112,2016-01-12,2016,1,1,January,2016-Jan,2,12,2,Tuesday,false
20160113,2016-01-13,2016,1,1,January,2016-Jan,2,13,3,Wednesday,false
20160114,2016-01-14,2016,1,1,January,2016-Jan,2,14,4,Thursday,false
20160115,2016-01-15,2016,1,1,January,2016-Jan,2,15,5,Friday,false
20160116,2016-01-16,2016,1,1,January,2016-Jan,2,16,6,Saturday,true
20160117,2016-01-17,2016,1,1,January,2016-Jan,3,17,7,Sunday,true
20160118,2016-01-18,2016,1,1,January,2016-Jan,3,18,1,Monday,false
20160119,2016-01-19,2016,1,1,January,2016-Jan,3,19,2,Tuesday,false
20160120,2016-01-20,2016,1,1,January,2016-Jan,3,20,3,Wednesday,false
20160121,2016-01-21,2016,1,1,January,2016-Jan,3,21,4,Thursday,false
20160122,2016-01-22,2016,1,1,January,2016-Jan,3,22,5,Friday,false
20160123,2016-01-23,2016,1,1,January,2016-Jan,3,23,6,Saturday,true
20160124,2016-01-24,2016,1,1,January,2016-Jan,4,24,7,Sunday,true
20160125,2016-01-25,2016,1,1,January,2016-Jan,4,25,1,Monday,false
20160126,2016-01-26,2016,1,1,January,2016-Jan,4,26,2,Tuesday,false
20160127,2016-01-27,2016,1,1,January,2016-Jan,4,27,3,Wednesday,false
20160128,2016-01-28,2016,1,1,January,2016-Jan,4,28,4,Thursday,false
20160129,2016-01-29,2016,1,1,January,2016-Jan,4,29,5,Friday,false
20160130,2016-01-30,2016,1,1,January,2016-Jan,4,30,6,Saturday,true
20160131,2016-01-31,2016,1,1,January,2016-Jan,5,31,7,Sunday,true
20160201,2016-02-01,2016,1,2,February,2016-Feb,5,1,1,Monday,false
